holiday_date,name,kind
2026-01-01,New Year's Day,regular
2026-04-02,Maundy Thursday,regular
2026-04-03,Good Friday,regular
2026-04-09,Araw ng Kagitingan,regular
2026-05-01,Labor Day,regular
2026-06-12,Independence Day,regular
2026-08-31,National Heroes Day,regular
2026-11-30,Bonifacio Day,regular
2026-12-25,Christmas Day,regular
2026-12-30,Rizal Day,regular
2026-02-25,EDSA People Power Anniversary,special
2026-08-21,Ninoy Aquino Day,special
2026-11-01,All Saints' Day,special
2026-12-08,Feast of the Immaculate Conception,special
2026-12-31,Last Day of the Year,special
